,concept_from_alex_street,phrase_code
22774,empire state federation,2
22270,employ girls,5
18666,employ women,5
17193,employed persons,4
17302,employed women,3
22971,employees benefit association,5
14978,employers association,5
18264,employers associations,4
18999,employing women,5
17528,employment agencies,5
15551,employment agency,5
21987,employment agents,5
18968,employment bureau,4
24304,employment certificate issued,5
17471,employment committee,5
18396,employment exchanges,5
23052,employment fluctuation,4
20155,employment manager,5
16813,employment program,5
21249,employment property,5
18890,employment situation,4
18716,employment years,5
17732,enable purchasers,5
14519,enabling act,5
13744,encephalitis,4
26463,encyclopaedia occupation,4
21553,endowment committee,2
14314,endowment fund,5
19670,enemys boats,4
22988,enforcement machinery,5
18203,enfranchise women,5
15077,enfranchisement,5
16379,english bar,4
14883,english common law,5
14806,english magazine,2
16393,english members,2
23022,enlightened public opinion,5
23920,enlightened states,4
23908,enlightening public opinion,5
25974,enlisted colored troops,3
15393,enlisted man,3
24288,entire community property,5
14582,entire race,5
17574,entrance requirements,5
3965,equal,5
21865,equal application,5
17041,equal basis,5
10910,equal bights,99
17019,equal chance,5
18360,equal citizenship,5
25261,equal citizenship england,5
21073,equal code,5
22456,equal competence,4
25008,equal domicile bill,5
23256,equal duties,5
24149,equal economic rights,5
10898,equal eights,99
15354,equal eights amendment,99
21680,equal eights movement,99
14294,equal footing,5
18894,equal franchise,5
26194,equal franchise federation,5
22495,equal guardianship,5
25181,equal guardianship bill,4
25997,equal guardianship law,5
25442,equal inheritance laws,5
19641,equal laws,5
24612,equal moral standard,5
23054,equal nationality,5
25058,equal nationality bill,5
25019,equal nationality convention,5
23927,equal nationality rights,5
24594,equal nationality treaty,5
15176,equal numbers,5
13288,equal opportunities,5
24446,equal opportunity league,1
13487,equal pay,5
21981,equal pay bill,5
25023,equal pay convention,5
22329,equal pay law,5
19012,equal plane,5
19470,equal position,5
16160,equal power,5
13354,equal protection,5
16963,equal rank,5
15369,equal representation,5
21861,equal responsibilities,5
20345,equal responsibility,5
16298,equal right,5
10913,equal rights,5
21455,equal rights advocates,5
25826,equal rights agitation,5
15351,equal rights amendment,5
24147,equal rights amendment bill,5
26697,equal rights amendment joint resolution,5
25457,equal rights atmosphere,5
22604,equal rights bill,5
24471,equal rights bills,5
22789,equal rights campaign,5
22639,equal rights committee,5
24048,equal rights council,5
24391,equal rights envoy,5
24307,equal rights envoys,5
23260,equal rights international,5
21591,equal rights law,4
23003,equal rights legislation,5
24143,equal rights measures,5
21723,equal rights movement,5
25221,equal rights nationality bill,5
26340,equal rights pageant,5
24731,equal rights plank,5
24721,equal rights program,5
24549,equal rights proposal,5
25926,equal rights question,5
24824,equal rights reservation,5
24091,equal rights resolution,5
22186,equal rights throughout,5
25853,equal rights tour,5
23185,equal rights treaty,5
21210,equal service,5
16544,equal share,5
13975,equal status,5
16116,equal suffrage,5
23537,equal suffragists,5
15165,equal terms,5
14344,equal treatment,5
15416,equal value,5
20385,equal votes,5
21010,equal wage,5
15692,equal work,5
26138,equal world code,5
17689,equalitarian society,5
19138,equalitarians,5
20486,equality amendment,5
16279,equality first,5
20542,equality reservation,5
21658,equalize conditions,5
22873,equalrights,5
16435,equitable distribution,5
1272,era,5
16200,errand boy,4
25967,erstwhile masters family,4
24080,erstwhile slave,4
16099,essay contest,5
16859,essential characteristic,5
25970,establish business scholarships,5
23342,establish equal rights,5
19270,establish equality,5
23960,establish uniform procedure,5
15840,established principle,5
23046,establishing equal rights,5
24167,estelle lauder,4
14061,estimated value,5
19547,eternal feminine,5
24254,ethnically descriptive,4
11459,ettore,4
11567,eugenics,5
14803,european members,2
14286,european women,3
9190,evangelism,4
16179,evening work,4
18564,every death,5
13766,every race,5
20338,evil effects,5
15879,evil men,4
19424,exceed hours,5
20597,excess money,4
20232,excessive hours,5
15340,exchange work,5
17073,exclude women,5
16748,executive committee members,2
15279,executive departments,5
15708,executive women,2
18272,exhaustive study,5
22419,exhibit committee,2
24910,existing hour law,4
24486,existing nationality law,5
14581,expert committee,5
25593,expert typewriter,4
5395,experts,5
19873,explicit provision,5
19615,export department,4
15992,exslaveholder,4
19288,extension department,5
20442,extension workers,5
20921,exterior decorators,4
14223,extra pay,5
15008,extra work,5
16614,fabric used,4
21969,factories bill,5
14509,factory building,4
20600,factory employment,4
20319,factory inspection,5
18997,factory inspector,5
18682,factory inspectors,5
20814,factory law,5
20818,factory legislation,5
19017,factory workshop,4
21595,facts gathered,5
23349,fainting hearts,5
16888,fair chance,5
16325,fair competition,5
17459,fair hearing,5
18341,fair sex,4
21305,fair standard,5
16232,fair treatment,5
13399,fair trial,5
24823,fair wage adjustments,5
17537,fair wages,5
14870,fairy queen,5
16367,faithful service,5
21531,fall inspection,5
25980,families buying coal,4
22618,families investigated,5
25985,families renting houses,4
24547,families renting rooms,4
361,family,4
17324,family allowances,5
21188,family endowment,5
14090,family property,5
14478,family relations,4
17212,family responsibilities,4
25339,family service relief funds,5
14643,family status,4
14022,family support,5
24214,fanatical feminism,4
26064,fannie j coppin club,1
26065,fannie j coppin social,99
24302,fannie wall childrens home,1
23864,fanny jackson coppin club,1
26048,fanny wall childrens home,5
22956,farm agents,4
20812,farm council,5
18530,farm group,4
15168,farm laborer,4
15253,farm laborers,4
15121,farm produce,5
17439,farm shop,4
18895,farm women,3
19092,farmer organizations,4
25602,farmer states right league,1
25689,farmerlabor federation,5
25688,farmerlabor movement,5
25736,farmerlabor party,1
19255,farmers loan,5
25603,farmers states right league,1
25347,farmers week program,5
25620,fascist labor charter,4
21467,fashion columns,5
10585,fatherhood,4
21377,fathers earnings,4
25833,favor upon women,5
21153,favored class,5
13682,federal act,5
16587,federal action,5
16838,federal amendment,5
17932,federal appropriation,5
24885,federal child labor amendment,5
22848,federal child labor law,5
17655,federal civil service,5
17298,federal congress,5
13770,federal constitution,5
20467,federal constitutional amendment,5
13486,federal department,2
13376,federal district court,2
25099,federal eight hours bill,5
26375,federal employment exchanges,5
23009,federal equal rights amendment,5
18357,federal government employes,99
14017,federal institution,2
16960,federal judgeship,5
14603,federal program,5
21270,federal suffrage amendment,5
25311,federated farm women,3
22361,federation cottage,4
14946,federation states,2
19004,female citizens,3
18661,female domestic,4
21600,female domestic workers,4
14615,female education,5
24238,female employee getting married,4
14813,female employees,3
14589,female employes,4
18590,female mind,4
25762,female negro domestic,3
25771,female negro domestic workers,3
21427,female parasitism,4
16501,female slaves,3
16793,female teachers,3
22576,female yeomen,3
21322,feme covert,5
20042,feme sole,4
22741,feminine activity,5
21784,feminine sex,5
23082,feminine union,5
6945,feminism,5
21232,feminist activities,5
21428,feminist congress,5
22707,feminist country,5
21789,feminist demand,5
17147,feminist groups,5
20605,feminist leaders,5
12729,feminist movement,5
18498,feminist newspaper,2
21636,feminist papers,2
20436,feminist program,5
23318,feminist progress,5
20009,feminist union,4
23061,feminist victory,5
23231,feministak egyesiilete,3
7156,feminists,5
23187,feminsitak egyesiilete,3
18573,fertile fields,4
22250,field clerks,4
14864,field department,2
23701,field work department,5
16750,field worker,4
13390,fielduniversity,6
15862,fierce hate,4
15496,fifteenth amendment,5
13639,fifth amendment,5
17375,fifth international conference,2
16952,fifty cents,5
24597,fiftyeight hours,5
26803,fiftyfive hours law,5
26557,fiftyfour hour week,4
25036,fiftyfour hours,5
19611,fighting discriminations,5
16937,filipino woman,2
17045,filipino women,3
17173,fill positions,5
22260,filterable virus,4
19209,final equality,5
3089,finance,4
13372,financial interests,5
14337,financial secretary,5
16136,financial world,5
14950,find jobs,5
21458,fine physique,5
18342,fire bills,5
15087,fire prevention,5
16941,first biennial,2
23125,first colored man,5
25921,first colored secretary,5
25878,first colored student conference,2
24043,first colored woman,5
25379,first colored women,4
25785,first colored womens club,5
13388,first convention,2
22876,first day nursery,5
24851,first equal rights convention,2
26342,first equal rights meeting,2
14247,first international conference,2
16096,first international congress,2
23319,first judiciary act,5
16366,first national conference,2
16780,first negro,5
14961,first offender,4
25363,first personal service committee,5
23941,first statistical report,5
24056,first summer conference,2
25783,first sunday school movement,5
21480,first turkish woman,5
14912,first woman ever,5
18747,first woman governor,5
17148,first woman member,5
23737,first woman miller,5
21726,first womans rights convention,2
25869,firstclass colleges,5
22683,fish resolution,5
15251,fisk university,6
15232,five cents,5
15226,five oclock,5
20337,fix rates,5
21222,fix wages,5
23353,fixing minimum wages,4
16047,floodtime,5
22615,florence bayard hilles,1
25120,florence bayard hilles national chairman,2
20633,florida federation,2
15733,florida law,4
25030,florida state branch,2
19330,flour business,4
17315,flower seeds,4
23664,focus public opinion,5
15225,following policy,5
14237,following recommendation,5
14235,following recommendations,5
17103,food bought,5
17362,food committee,5
26343,food committee reports,5
18834,food conservation,5
14929,food consumed,5
15380,food consumption,4
18915,food drugs act,5
17500,food establishments,4
21161,food expenditures,5
19259,food factories,4
20837,food handlers,4
24679,food inspection decisions,5
14242,food program,5
18389,food purchased,5
18331,food purchases,5
26703,food sanitation committee,5
15854,food shows,5
15265,food standards,5
18775,food value,5
13448,food work,4
26144,foods drugs liquors,4
18441,foods produced,5
22014,foot presses,4
12547,forced labour,4
13629,foreign affairs committee,2
14848,foreign department,5
19889,foreign fields,4
14841,foreign lands,5
15193,foreign man,3
13952,foreign markets,4
19902,foreign mission board,4
16574,foreign missionaries,2
16698,foreign organization,2
14552,foreign relations committee,5
20288,foreign residence,5
19224,foreign spouse,4
19516,foreign wife,4
18423,foreign woman,3
17265,foreign women,3
7960,foreigners,3
19465,forgotten woman,4
17067,formal protest,5
25614,former federal child labor law,5
16511,former mistress,4
13572,former slaves,3
20310,forty hour week,5
25220,fortyeight hour week,5
26482,fortyeighthour law,5
25152,fortyeighthour week,5
26458,fortyfive hours,5
24959,fortyfour hour week,5
24955,fortyfour hours,5
15498,fourteen years old,5
12965,fourteenth amendment,5
25063,fourth ohio congressional district,2
4417,franchise,5
20283,franchise companies,4
20851,fraternal delegate,2
20845,fraternal delegates,2
19307,fraternity men,4
25935,frau pfülf,1
25636,frederick douglas centre,1
22865,frederick douglass home,1
20409,frederick douglass memorial,5
13411,free country,5
16040,free labor,4
13384,free love,5
13384,free love,5
19548,free marriage,5
18829,free negroes,3
19178,free option,5
19650,free papers,2
14035,free society,5
16197,free women,3
9742,freedmen,3
16132,freedmens bureau,5
3096,freedom,5
15953,freedom day,5
20350,freight office,4
22634,frelinghuysen university,6
18485,french cabinet,2
19910,french civil code,4
19473,french civilization,5
16527,french committee,2
19162,french course,5
17284,french feminism,5
23153,french feminist movement,5
17406,french feminists,5
15656,french market,4
23283,french suffragists,5
17608,french wives,3
23500,frivolous amusements,4
22599,frugal habits,5
21684,fruit growing industry,4
26680,fruit preserving establishments,4
23426,fruitful service,5
16724,full benefit,5
15639,full citizenship,5
26495,full compensation rate,5
14224,full dress,5
13630,full employment,5
15822,full equality,5
22588,full fashioned hosiery,4
16210,full freedom,5
17071,full hearing,5
13664,full independence,5
15727,full participation,5
16334,full recognition,5
13795,full responsibility,5
17568,full share,5
18847,full suffrage,5
15329,full time work,5
23112,full work week,5
22804,fulltime week,5
15906,fully qualified,5
15921,fully recognized,5
14971,fundamental difference,5
15231,fundamental law,5
19316,fundamental liberties,5
13351,fundamental principles,5
17802,fundamental question,5
14463,fundamental right,5
16002,fur coats,4
18701,furnished rooms,5
21573,future mothers,4
26042,gain full immediate suffrage,5
17442,gainful employment,5
23550,gainful pursuits,5
19173,gainfully employed,5
23234,gainfully occupied,5
15973,game wardens,4
14310,garden house,5
14166,garden party,5
17611,gardenroom,5
21113,garland fund,5
15930,garment industry,4
20586,garment shops,4
16506,garments worn,5
20470,general abolition,5
15802,general accounting office,2
16854,general attitude,5
15502,general chairman,2
16050,general commission,2
14472,general convention,2
15641,general federation,5
13476,general fund,5
22393,general housework,4
23696,general houseworker,4
25796,general houseworkers,3
19130,general ignorance,5
16467,general improvement,5
23585,general international agreement,5
14954,general laws,5
19398,general proposition,5
18155,general smuts,4
14907,general superintendent,4
25217,general tardieu,4
15539,general welfare,5
16693,generation ago,4
18473,genetic psychology,5
21511,geneva disarmament conference,2
17332,geneva university,6
15026,gentlemens agreement,5
23501,georgia collector,2
16398,georgia federation,2
22545,georgia industrial college,6
25848,georgia industrial school,6
17543,georgia state college,6
23262,georgia state federation,2
22606,georgia state industrial college,6
25708,georgia state teachers association,1
14745,german federation,2
14869,german nationality,5
14217,german union,2
24611,gertrude banks,1
19634,get educated,5
25206,get reduced rates,5
16760,get votes,5
13947,getting together,5
20929,gifted woman,5
23729,girl caddies,3
26193,girl reserve work,4
14167,girlhood,4
20738,girls friendly society,5
23605,girls industrial home,5
24687,girls rescue home,5
13961,girls work,5
23847,give de jure recognition,5
26459,give increased dignity,5
21921,given equal opportunity,5
23558,given equal pay,5
21612,given full power,5
22024,given special protection,5
19994,giving scholarships,5
16238,go marching,5
16159,gods work,5
19315,going wage,5
23179,gold banners,2
13530,good character,5
25975,good cheer club,1
17096,good citizenship,5
13587,good deeds,5
23076,good government club,1
16113,good homes,5
16201,good hospital,5
14365,good housekeeping,4
16546,good inspections,5
19061,good inspectors,5
16350,good jobs,5
15465,good manners,5
17851,good morals,5
15743,good offices,5
14042,good policy,5
13786,good reputation,5
16351,good sport,5
15033,good standards,5
19851,goodly heritage,5
20548,goods wares,5
15898,goucher college,6
24849,goucher college student council,6
14430,government approval,5
21509,government hotels,2
15389,government scheme,5
25039,government work poor conditions,4
15004,government workers,2
23509,government workers council,5
14302,governmental affairs,5
15849,governmental authority,4
16018,governmental body,2
17055,governmental program,5
23044,governor deneen,4
22912,governor dorsey,4
17158,governor franklin,4
20670,governor pinchot,4
19338,governor roosevelt,4
15942,governor smith,4
21047,governor whitman,4
24311,governor winant,4
17361,governors commission,2
14610,governors council,2
1502,graduate,5
25059,gravely bill,5
15260,gray matter,5
14594,great beauty,5
15576,great ideals,5
24995,great moral dangers,4
23756,great national service,5
19507,great parade,5
18206,great privilege,5
16418,great responsibility,5
15972,great theatre,5
23731,great white race,4
15810,greater love,5
17110,greater percentage,5
16925,greatest diversity,5
24336,greatest woman pianist,5
13796,greek literature,5
14948,greek testament,5
16144,greek women,3
16044,green back,5
24084,grimké boys,1
23265,grimke family,1
16218,grocery business,4
18328,grocery chains,4
14096,group action,5
17624,group conflict,5
16734,group interests,5
23557,growing industrialism,4
21418,guarantee clause,5
23928,guardianship bill,5
14236,gun salute,5
24220,h cordelia ray,1
25079,hague codification conference,5
17226,hague conference,5
14728,hague convention,5
19152,hague court,5
25115,hague nationality convention,5
21546,haines college,6
23105,haines institute,5
13878,hair long,5
22453,haitian coffee,4
26517,half hour law,5
22641,half hours per week,5
24794,halftime houseworker,4
14458,halfway house,5
19155,hamptons magazine,2
23449,handicap women,4
26474,handle labor complaints,5
13643,happily married,5
19298,hard earnings,5
15082,hard worker,5
19914,harlem riot,4
25252,harlem uprising,4
20036,harmon foundation,4
16479,harpers monthly,2
23511,harriet tubman club,1
26656,harris bessie,1
23683,harrisburg conference,5
23472,harrisburg convention,5
15240,harvest time,4
20384,havana conference,2
22018,hawaiian schools,6
20721,hazardous occupations,4
22935,hazel mackaye,1
21487,headwaitress,3
518,heal,5
14325,health authorities,5
25723,health boards members,2
18727,health certificate,5
15514,health commissioner,2
18404,health examination,5
21075,health insurance commission,2
18405,health morals,5
15062,health officer,5
18759,health rating,5
20348,health road,5
20280,health talk,5
17722,healthy men,3
5449,hearts,4
17860,hebrew people,3
15050,hebrew union college,6
2332,heritage,4
16377,hero worship,5
13365,hiawatha,5
13419,high academic,4
15717,high character,5
23641,high christian character,5
18207,high death rate,4
23724,high government policy,5
22006,high moral standard,5
13679,high mortality,4
23060,high per cent,5
15419,high platform,5
13531,high positions,5
20150,high tribunal,2
23708,high wage scales,5
16251,high wages,5
19072,higher castes,4
14618,higher court,5
19604,higher ideals,5
23268,higher income group,4
22148,higher income groups,4
19830,higher minimum wage,5
19699,higher moral,5
23637,higher paid work,5
16287,higher positions,5
14135,higher schools,5
14317,higher standard,5
14127,higher wages,5
14375,highest degree,5
18163,highest ideals,5
22579,highest salary paid,4
24208,highest salary received,5
14178,highest standards,5
19557,highest wage,5
21646,highly skilled professional,4
18633,hindu woman,3
17331,hindu women,3
22898,hines chairman,4
24340,hippolytus club,1
16464,hire women,5
16341,hired help,4
18172,hiring women,5
16536,historical associations,2
16767,holding public office,5
20703,home agents,5
18276,home civil service,5
19849,home demonstration,5
22924,home demonstration agents,4
18588,home duties,4
19537,home economics department,5
24505,home economics united states department,5
20193,home farms,4
17474,home kitchen,4
16716,home maker,4
15500,home making,4
19210,home managers,5
21038,home mission board,5
18139,home missions,5
20698,home partnership,5
17937,home workers,4
16013,homelike,4
23576,homemade girl,4
24568,homemakers council,5
13359,homemaking,5
23193,homemaking work,4
21206,homestead law,5
25334,hon frances perkins,2
20963,honduran women,3
25185,honest cloth bills,4
20329,honest election,5
22289,honorable dismissal,4
22111,hoosier women,3
25395,hoovercurtis ticket,5
24424,hope day nursery,5
13771,hosiery,4
22291,hosiery workers,4
14668,hospital beds,4
16254,hospital facilities,4
25344,hostess house work,5
15210,hotel company,4
14872,hour bill,5
16752,hour law,5
20418,hour regulations,5
15604,hour schedule,5
24239,hour week bill,5
20095,hours allowed,5
19231,hours bill,5
20295,hours law,5
23333,hours night work,4
24868,hours payment entry,5
13588,hours per day,5
16372,hours spent,4
18606,hourweek,5
17453,house foreign affairs committee,23
23331,house immigration committee,5
15170,house mother,4
17146,house rented,5
25761,housefurnishing committee,2
20529,household care,4
21759,household employment,4
17467,household word,5
20904,housekeeping services,5
9297,housewife,4
23143,housewifes services,5
10212,housework,4
2898,housing,4
17254,housing problem,4
22137,howard county board,2
23247,howard county school board,2
26687,howard pharmacy,4
15460,howard school,99
20075,howard university law school,6
22721,howard wolfe,1
16605,howe institute,2
10069,hull house,1
15296,human affairs,5
14901,human bones,4
20578,human brotherhood,5
20267,human economy,5
17040,human equality,5
13403,human experience,5
15411,human family,4
15424,human freedom,5
17702,human happiness,5
17128,human labor,4
18720,human liberty,5
13850,human relationships,5
5557,human rights,5
16459,human welfare,5
20422,humanity justice,5
23710,humiliating practices,4
16063,hungarian parliament,2
14561,hunger strikes,5
20770,husbands authority,4
20197,husbands consent,4
20706,husbands country,4
19934,husbands debts,4
17916,husbands estate,4
20967,husbands income,4
14987,husbands name,4
25715,husbands name affixed,4
21774,husbands nationality,4
25932,husbands separate income,4
22112,husbands wages,4
23608,hyatri co,4
23969,hyde trustees,2
9501,hygiene,4
24947,hypothetical earnings,5
960,hysterical,4
21143,hysterical nation,5
22311,idaho chairman,2
5414,ideal,5
22287,idle women,4
13789,idleness,4
21009,illegal employment,4
21333,illegally employed,4
23526,illegitimacy bill,5
18930,illegitimate birth,4
14076,illegitimate child,4
14112,illegitimate children,4
24035,illegitimate mothers,4
26250,illegitimate parenthood,4
16543,illinois association,2
19453,illinois branch,2
18773,illinois corporation,4
21162,illinois decision,2
20224,illinois federation,2
16558,illinois legislature,2
19189,illinois republican primary,4
18867,illinois state association,2
22871,illinois state federation,2
6951,illiteracy,4
25411,imaginary sex weaknesses,5
26278,immediate equalization,5
19312,immediate investigation,5
17752,immediate relief,5
20179,immediate restoration,5
15947,immigrant children,3
13951,immigration act,5
16223,immigration authorities,4
20049,immigration committee,2
13910,immigration law,5
14888,immigration laws,5
23178,impartial attitude,5
20995,impartial trial,5
16607,imperial conference,2
25260,impose fresh handicaps,5
22921,improper lighting,5
24725,improve home working conditions,5
21048,impure water,4
22122,inadequate wages,4
17168,inalienable right,5
16475,inalienable rights,5
22794,inarticulate women,4
13662,include women,5
3356,inclusive,5
17679,income group,5
16681,income groups,4
15069,income increased,5
15162,income increases,5
20050,income required,5
18901,income spent,5
22801,income tax division,5
18960,income tax law,5
22595,increase immorality,4
13907,increased cost,4
13670,indebtedness,4
19039,indecent behavior,4
21813,indecent manner,5
22473,independent citizenship,5
16704,independent club,5
26385,independent domicile,4
19550,independent incomes,5
25253,independent labor department,5
23326,independent offices bill,5
17901,independent store,4
17394,independent voter,5
21736,indian arrow,4
18488,indian bureau,5
20563,indian mines,4
22520,indian muslim women,3
21498,indian womanhood,5
19593,indiana branch,2
21331,indiana federation,2
22928,indiana sponsor,2
22569,indirect representation,5
17290,individual clubs,2
16483,individual effort,5
17658,individual employers,4
16490,individual life,5
23985,individual personal service,5
20164,individual protected,5
14380,individual work,5
17068,individual workers,4
18392,individual worth,5
14921,industrial activity,5
26512,industrial art schools,5
14636,industrial arts,5
17872,industrial board,5
14602,industrial building,4
13496,industrial city,4
24097,industrial clinics,4
22399,industrial codes,4
16122,industrial commission,5
19179,industrial conditions,4
17449,industrial council,5
17447,industrial councils,5
16461,industrial department,5
20025,industrial disease,4
16328,industrial education,5
18366,industrial employment,4
19886,industrial equality,5
25397,industrial equality resolutions adopted,5
26503,industrial equality viewpoint,5
19481,industrial field,4
21691,industrial freedom,5
18040,industrial home,4
23659,industrial home work,5
17808,industrial hygiene,5
24883,industrial hygiene bureaus,5
24293,industrial inequality,4
19558,industrial injuries,4
14445,industrial institute,5
21776,industrial justice,5
20117,industrial laws,5
20636,industrial legislation,5
25489,industrial legislation regulations,5
15098,industrial management,5
18278,industrial occupations,4
15179,industrial organizations,4
14701,industrial plants,4
23239,industrial poisoning,4
22955,industrial poisons,4
22259,industrial preparedness,5
18694,industrial problems,5
23822,industrial recovery administration,5
23435,industrial restrictions,4
10553,industrial revolution,4
16751,industrial safety,5
20291,industrial secretary,4
17097,industrial service,5
18234,industrial standards,5
21763,industrial standards committee,5
21508,industrial toxicology,5
20093,industrial undertakings,5
22521,industrial welfare commission,5
23764,industrial woman,3
21746,industrial women,3
15852,industrial work,4
17849,industrial worker,3
16993,industrial world,5
13862,industry agriculture,4
13851,industry award,5
24240,industry business meeting,4
16031,industry today,5
19161,industrys closet,4
24004,ineligible alien,4
9108,inequality,4
25588,ineradicable male instinct,4
23089,inescapable duty,5
22271,infamous traffic,4
22312,infancy act,5
25574,infancy legislation,5
26423,infant welfare lapsed,4
13833,infanticide,4
17912,inferior class,4
17690,inferior position,5
23757,inferior workers,4
15979,inferiority complex,5
23344,infirm colored people,3
26154,infirm colored women,4
10662,infirmary,4
17417,inherit property,5
23346,inherit real estate,4
22002,inheritance bill,5
18397,inheritance laws,5
15619,inheritance tax,5
18875,inheritance taxes,5
15537,inherited property,5
19150,initiative petition,5
18412,injured children,4
18227,inland revenue department,2
18409,inspection department,5
22417,inspection room,4
22667,inspectors authorized,5
19985,institut de droit international,4
2922,institutions,4
20867,insufficient income,4
14055,insurance business,4
15307,insurance scheme,4
22353,insure punishment,5
21308,insured families,5
20699,intellectual attainments,5
20899,intellectual improvement,5
20612,intellectual training,5
25299,intelligent negro woman,4
23686,intelligent public opinion,5
24545,intensive educational campaign,5
14019,intensive study,5
15778,inter american commission,5
23420,interamerican commission,5
25213,interamerican understanding,5
24107,intercollegiate prize,5
13979,interior department,3
18025,intermarrying,4
319,international,4
15459,international action,5
17983,international advisory committee,5
17390,international advisory council,5
20557,international advisory group,5
25258,international air navigation commission,5
13573,international alliance,5
14421,international bodies,5
14699,international brotherhood,5
14461,international bureau,5
13402,international campaign,5
14761,international chamber,5
15071,international conventions,5
24125,international dental health foundation,5
15258,international fellowship,5
17127,international feminism,5
25393,international feminist committee,5
25424,international feminist union,5
17244,international feminists,5
16336,international guild,5
13544,international house,2
14400,international justice,5
22171,international labor conference,5
21034,international labor office,5
18246,international labor organization,5
24198,international labor review,5
17493,international labour office,5
15772,international life,5
15194,international mission,5
19555,international parliament,5
16346,international position,5
18164,international relations committee,5
20673,international relations program,5
16656,international secretaries,2
25923,international secretaries conference,5
16221,international secretary,2
18629,international suffrage alliance,5
14744,international traffic,4
14254,international treaty,5
23047,international woman suffrage news,2
20654,interparliamentary union,2
22621,interracial commission,5
24495,interracial committees,5
20058,interracial cooperation,5
20199,interracial relations,5
20996,interstate agreement,5
14748,interstate commerce commission,5
14248,interstate commission,5
17598,interstate compact,5
17590,interstate compacts,5
19564,intimate acquaintance,5
17698,intimate contact,5
23840,intolerable tyranny,4
17593,intoxicating liquors,4
24845,inventory plus hours,5
14243,investigate whether,5
21570,investigation grant,5
24328,investigational machinery,4
19071,investment banking business,4
14876,investment business,5
21714,iowa federation,2
14494,irish woman,3
14264,italian women,3
18582,italy today,2
20712,itinerant ministry,5
25925,j sheldon cartwright secretary,1
24476,j walsh washington,1
16270,jackson college,6
22768,jacob wassermann,1
21770,jail board,5
1619,jailed,5
24358,jane norman smith,1
24025,janet hills,1
22853,janie porter barrett,1
14960,janitresses,3
16307,japanese men,3
13663,japanese women,3
23527,jaw condition,4
25667,jefferson chest clinic,6
25726,jefferson chest hospital,6
21443,jeffersonian principle,5
23115,jeffersons opinion,5
15547,jesuit church,6
19707,jewelry industry,4
23935,jewish womens movement,5
22450,jim crow car,4
26819,jim crow christianity,4
15582,jimmy boy,4
22504,jobholding,4
24723,jobless married men,3
22723,john brown song,5
22879,john graham brooks,1
24413,john v degrasse,1
18839,johns hopkins medical school,6
16942,joiner bill,5
23371,joining labor unions,5
20172,joint act,5
14913,joint action,5
16880,joint authority,5
21597,joint demonstration,5
26616,joint industrial relations board,5
20225,joint label,5
24810,joint nationality committee,5
19008,joint property,5
13656,joint resolution,5
17793,joint standing committee,2
15397,jones bill,5
25829,jonesbroughton bill,5
22630,josephine goldmark,1
2734,journalism,5
16450,journalistic work,5
22439,journalists council,5
23417,judge florence allen,4
24274,judge genevieve r cline,4
21236,judge hammond,4
22496,judge terrell,4
19056,judicial opinion,5
22135,judiciary lawyer,2
26730,julius kaiser company,4
15508,junior clubs,5
22391,junior college work,5
15125,junior education,5
20321,junior employes,4
22153,junior federation,2
14559,junior girls,3
23405,juridical study,5
9725,juries,4
22992,jurisdictional strikes,5
123,jury,4
15770,jury bill,5
17275,jury box,5
20186,jury commissioners,5
16408,jury composed,99
15262,jury duty,5
17350,jury law,5
18842,jury lists,5
16645,jury service,5
24787,jury service bill,5
17372,jury system,5
14498,jurymen,4
17580,jus sanguinis,5
21094,justice brewer,4
14790,juvenile court,5
17515,kansas association,2
21320,kansas city association,2
21904,kansas city branch,2
20370,kansas city council,2
22568,kaw indians,3
26171,keep educated women,5
17136,keep informed,5
18599,kellogg pact,5
25472,kellogg peace treaty,5
24532,kentucky club woman,4
26801,kentucky consumers league,1
21809,kentucky federation,2
17171,kentucky league,2
17657,kentucky legislature,2
22814,kindergarten club,1
25096,kirklandjenks bill,5
16984,kitchenette,5
1526,klan,4
21324,knitted garments,4
20253,knitting machines,4
24609,kuklux klans,4
24434,la femme socialiste,1
23751,la follette bill,5
21593,la follette committee,2
24229,la follette ticket,5
23953,la revue de la femme,2
22036,label committee,5
22223,label covers,5
20390,label means,5
15197,label work,5
22942,labeled goods,5
22916,labelled goods,5
16761,labor bill,5
16468,labor bureau,5
19413,labor chief,2
19199,labor commission,5
17844,labor commissioner,2
15065,labor committee,5
16927,labor conditions,5
15907,labor councils,5
14512,labor department,2
20077,labor departments,4
20278,labor inspector,5
13651,labor law,5
14816,labor laws,5
17378,labor legislation,5
12493,labor movement,5
17977,labor news,2
17708,labor office,5
20866,labor organisation,5
15775,labor organizations,2
18336,labor policies,5
21193,labor price,4
18487,labor problems,4
21219,labor provisions,5
20332,labor question,5
21159,labor representation,5
16798,labor review,2
15530,labor standards,5
26457,labor standards committee,5
26456,labor standards conference,5
25400,labor temple forum,5
24474,labor unionism among negroes,4
12271,labor unions,5
17965,labor women,3
15455,laboratory work,4
20616,laboring men,4
19807,lace industry,4
21713,ladies cabin,5
14974,ladies home journal,4
23469,ladies organizations,5
19293,lady mayoress,5
23691,lady passfield,1
20465,lady principal,5
22854,lady waitresses,3
15414,ladylike,4
16905,land planes,5
16505,landed property,5
16824,larger percentage,5
15593,last drink,5
14771,lasting peace,5
23628,late frederick douglass,1
