,concept_from_alex_street,alternative_phrase,phrase_code
1222,educated colored woman,,3
1223,educated negro,,5
1224,educated negro woman,,3
1225,educated women,,5
1226,educating,,5
1227,education,,5
1228,education refinement,,5
1229,educational attache,,4
1230,educational authorities,,4
1231,educational campaign,,5
1232,educational development,,5
1233,educational effort,,5
1234,educational efforts,,5
1235,educational force,,5
1236,educational fund,,5
1237,educational ideals,,5
1238,educational institutions,,5
1239,educational patronage,,5
1240,educational problems,,5
1241,educational reform,educational re-form,5
1242,educational standard,,5
1243,educational systems,,5
1244,educational work,,5
1245,edwards plantation,,4
1246,effective collaboration,,5
1247,effective cooperation,effective co-operation,5
1248,effective protector,,5
1249,efficient man,,4
1250,efficient service,,4
1251,eight hour day,,5
1252,eight hour law,,5
1253,eight hours day,,5
1254,eight hours law,,5
1255,eighteenth amendment,,5
1256,eighthour bill,eight-hour bill,5
1257,eighthour day,eight-hour day,5
1258,eighthour law,eight-hour law,5
1259,eighthourlaw,eight-hour-law,5
1260,eighthours day,eight-hours day,5
1261,either parent,,5
1262,either sex,,5
1263,elect officers,,5
1264,elect senators,,5
1265,elect women,,5
1266,elected,,5
1267,elected delegate,,2
1268,elected superintendent,elected super-intendent,5
1269,electing,,5
1270,elective franchise,,5
1271,elective offices,,5
1272,electoral reform bill,electoral re-form bill,5
1273,electric light bill,,5
1274,electric washing machine,,4
1275,elementary department,,5
1276,elementary justice,,5
1277,elevator boy,,4
1278,elevator operators,,4
1279,eligible jurors,,5
1280,eligible list,,5
1281,eliminate discrimination,,5
1282,eliot mrs david,,1
1283,elizabeth blackwell chair,,2
1284,elmira board,,4
1285,elocutionist,,5
1286,elocutionists,,5
1287,ely university,,6
1288,elyuniversity,,6
1289,emancipation address,,5
1290,emancipation proclamation,,5
1291,emergency girls club,,1
1292,emergency measure,,5
1293,emergency work,,5
1294,eminent food chemists,,4
1295,empire state federation,,2
1296,employ girls,,5
1297,employ women,,5
1298,employed persons,,4
1299,employed women,,3
1300,employees benefit association,,5
1301,employers association,,5
1302,employers associations,,4
1303,employing women,,5
1304,employment agencies,,5
1305,employment agency,,5
1306,employment agents,,5
1307,employment bureau,,4
1308,employment certificate issued,,5
1309,employment committee,,5
1310,employment exchanges,,5
1311,employment fluctuation,,4
1312,employment manager,,5
1313,employment program,,5
1314,employment property,,5
1315,employment situation,,4
1316,employment years,,5
1317,enable purchasers,,5
1318,enabling act,,5
1319,encephalitis,,4
1320,encyclopaedia occupation,,4
1321,endowment committee,,2
1322,endowment fund,,5
1323,enemys boats,,4
1324,enforcement machinery,,5
1325,enfranchise women,,5
1326,enfranchisement,,5
1327,english bar,,4
1328,english common law,,5
1329,english magazine,,2
1330,english members,,2
1331,enlightened public opinion,,5
1332,enlightened states,,4
1333,enlightening public opinion,,5
1334,enlisted colored troops,,3
1335,enlisted man,,3
1336,entire community property,,5
1337,entire race,,5
1338,entrance requirements,,5
1339,equal,,5
1340,equal application,,5
1341,equal basis,,5
1342,equal bights,equal rights,99
1343,equal chance,,5
1344,equal citizenship,,5
1345,equal citizenship england,,5
1346,equal code,,5
1347,equal competence,,4
1348,equal domicile bill,,5
1349,equal duties,,5
1350,equal economic rights,,5
1351,equal eights,equal rights,99
1352,equal eights amendment,equal rights amendment,99
1353,equal eights movement,equal rights movement,99
1354,equal footing,,5
1355,equal franchise,,5
1356,equal franchise federation,,5
1357,equal guardianship,,5
1358,equal guardianship bill,,4
1359,equal guardianship law,,5
1360,equal inheritance laws,,5
1361,equal laws,,5
1362,equal moral standard,,5
1363,equal nationality,,5
1364,equal nationality bill,,5
1365,equal nationality convention,,5
1366,equal nationality rights,,5
1367,equal nationality treaty,,5
1368,equal numbers,,5
1369,equal opportunities,,5
1370,equal opportunity league,,1
1371,equal pay,,5
1372,equal pay bill,,5
1373,equal pay convention,,5
1374,equal pay law,,5
1375,equal plane,,5
1376,equal position,,5
1377,equal power,,5
1378,equal protection,,5
1379,equal rank,,5
1380,equal representation,,5
1381,equal responsibilities,,5
1382,equal responsibility,,5
1383,equal right,,5
1384,equal rights,,5
1385,equal rights advocates,,5
1386,equal rights agitation,,5
1387,equal rights amendment,,5
1388,equal rights amendment bill,,5
1389,equal rights amendment joint resolution,,5
1390,equal rights atmosphere,,5
1391,equal rights bill,,5
1392,equal rights bills,,5
1393,equal rights campaign,,5
1394,equal rights committee,,5
1395,equal rights council,,5
1396,equal rights envoy,,5
1397,equal rights envoys,,5
1398,equal rights international,equal rights inter-national,5
1399,equal rights law,,4
1400,equal rights legislation,,5
1401,equal rights measures,,5
1402,equal rights movement,,5
1403,equal rights nationality bill,,5
1404,equal rights pageant,,5
1405,equal rights plank,,5
1406,equal rights program,,5
1407,equal rights proposal,,5
1408,equal rights question,,5
1409,equal rights reservation,,5
1410,equal rights resolution,,5
1411,equal rights throughout,equal rights through-out,5
1412,equal rights tour,,5
1413,equal rights treaty,,5
1414,equal service,,5
1415,equal share,,5
1416,equal status,,5
1417,equal suffrage,,5
1418,equal suffragists,,5
1419,equal terms,,5
1420,equal treatment,,5
1421,equal value,,5
1422,equal votes,,5
1423,equal wage,,5
1424,equal work,,5
1425,equal world code,,5
1426,equalitarian society,,5
1427,equalitarians,,5
1428,equality amendment,,5
1429,equality first,,5
1430,equality reservation,,5
1431,equalize conditions,,5
1432,equalrights,,5
1433,equitable distribution,,5
1434,era,,5
1435,errand boy,,4
1436,erstwhile masters family,,4
1437,erstwhile slave,,4
1438,essay contest,,5
1439,essential characteristic,,5
1440,establish business scholarships,,5
1441,establish equal rights,,5
1442,establish equality,,5
1443,establish uniform procedure,,5
1444,established principle,,5
1445,establishing equal rights,,5
1446,estelle lauder,,4
1447,estimated value,,5
1448,eternal feminine,,5
1449,ethnically descriptive,,4
1450,ettore,,4
1451,eugenics,,5
1452,european members,,2
1453,european women,,3
1454,evangelism,,4
1455,evening work,,4
1456,every death,,5
1457,every race,,5
1458,evil effects,,5
1459,evil men,,4
1460,exceed hours,,5
1461,excess money,,4
1462,excessive hours,,5
1463,exchange work,,5
1464,exclude women,,5
1465,executive committee members,,2
1466,executive departments,,5
1467,executive women,,2
1468,exhaustive study,,5
1469,exhibit committee,,2
1470,existing hour law,,4
1471,existing nationality law,,5
1472,expert committee,,5
1473,expert typewriter,expert type-writer,4
1474,experts,,5
1475,explicit provision,,5
1476,export department,,4
1477,exslaveholder,ex-slave-holder,4
1478,extension department,,5
1479,extension workers,,5
1480,exterior decorators,,4
1481,extra pay,,5
1482,extra work,,5
1483,fabric used,,4
1484,factories bill,,5
1485,factory building,,4
1486,factory employment,,4
1487,factory inspection,,5
1488,factory inspector,,5
1489,factory inspectors,,5
1490,factory law,,5
1491,factory legislation,,5
1492,factory workshop,,4
1493,facts gathered,,5
1494,fainting hearts,,5
1495,fair chance,,5
1496,fair competition,,5
1497,fair hearing,,5
1498,fair sex,,4
1499,fair standard,,5
1500,fair treatment,,5
1501,fair trial,,5
1502,fair wage adjustments,,5
1503,fair wages,,5
1504,fairy queen,,5
1505,faithful service,,5
1506,fall inspection,,5
1507,families buying coal,,4
1508,families investigated,,5
1509,families renting houses,,4
1510,families renting rooms,,4
1511,family,,4
1512,family allowances,,5
1513,family endowment,,5
1514,family property,,5
1515,family relations,,4
1516,family responsibilities,,4
1517,family service relief funds,,5
1518,family status,,4
1519,family support,,5
1520,fanatical feminism,,4
1521,fannie j coppin club,,1
1522,fannie j coppin social,fannie j coppin social club,99
1523,fannie wall childrens home,,1
1524,fanny jackson coppin club,,1
1525,fanny wall childrens home,,5
1526,farm agents,,4
1527,farm council,,5
1528,farm group,,4
1529,farm laborer,,4
1530,farm laborers,,4
1531,farm produce,,5
1532,farm shop,,4
1533,farm women,,3
1534,farmer organizations,,4
1535,farmer states right league,,1
1536,farmerlabor federation,farmer-labor federation,5
1537,farmerlabor movement,farmer-labor movement,5
1538,farmerlabor party,farmer-labor party,1
1539,farmers loan,,5
1540,farmers states right league,,1
1541,farmers week program,,5
1542,fascist labor charter,,4
1543,fashion columns,,5
1544,fatherhood,,4
1545,fathers earnings,,4
1546,favor upon women,,5
1547,favored class,,5
1548,federal act,,5
1549,federal action,,5
1550,federal amendment,,5
1551,federal appropriation,,5
1552,federal child labor amendment,,5
1553,federal child labor law,,5
1554,federal civil service,,5
1555,federal congress,,5
1556,federal constitution,,5
1557,federal constitutional amendment,,5
1558,federal department,,2
1559,federal district court,,2
1560,federal eight hours bill,,5
1561,federal employment exchanges,,5
1562,federal equal rights amendment,,5
1563,federal government employes,federal goverment employees,99
1564,federal institution,,2
1565,federal judgeship,,5
1566,federal program,,5
1567,federal suffrage amendment,,5
1568,federated farm women,,3
1569,federation cottage,,4
1570,federation states,,2
1571,female citizens,,3
1572,female domestic,,4
1573,female domestic workers,,4
1574,female education,,5
1575,female employee getting married,,4
1576,female employees,,3
1577,female employes,,4
1578,female mind,,4
1579,female negro domestic,,3
1580,female negro domestic workers,,3
1581,female parasitism,,4
1582,female slaves,,3
1583,female teachers,,3
1584,female yeomen,,3
1585,feme covert,,5
1586,feme sole,,4
1587,feminine activity,,5
1588,feminine sex,,5
1589,feminine union,,5
1590,feminism,,5
1591,feminist activities,,5
1592,feminist congress,,5
1593,feminist country,,5
1594,feminist demand,,5
1595,feminist groups,,5
1596,feminist leaders,,5
1597,feminist movement,,5
1598,feminist newspaper,,2
1599,feminist papers,,2
1600,feminist program,,5
1601,feminist progress,,5
1602,feminist union,,4
1603,feminist victory,,5
1604,feministak egyesiilete,,3
1605,feminists,,5
1606,feminsitak egyesiilete,,3
1607,fertile fields,,4
1608,field clerks,,4
1609,field department,,2
1610,field work department,,5
1611,field worker,,4
1612,fielduniversity,,6
1613,fierce hate,,4
1614,fifteenth amendment,,5
1615,fifth amendment,,5
1616,fifth international conference,fifth inter-national conference,2
1617,fifty cents,,5
1618,fiftyeight hours,fifty-eight hours,5
1619,fiftyfive hours law,fifty-five hours law,5
1620,fiftyfour hour week,fifty-four hour week,4
1621,fiftyfour hours,fifty-four hours,5
1622,fighting discriminations,,5
1623,filipino woman,,2
1624,filipino women,,3
1625,fill positions,,5
1626,filterable virus,,4
1627,final equality,,5
1628,finance,,4
1629,financial interests,,5
1630,financial secretary,,5
1631,financial world,,5
1632,find jobs,,5
1633,fine physique,,5
1634,fire bills,,5
1635,fire prevention,,5
1636,first biennial,first bi-ennial,2
1637,first colored man,,5
1638,first colored secretary,,5
1639,first colored student conference,,2
1640,first colored woman,,5
1641,first colored women,,4
1642,first colored womens club,,5
1643,first convention,,2
1644,first day nursery,,5
1645,first equal rights convention,,2
1646,first equal rights meeting,,2
1647,first international conference,first inter-national conference,2
1648,first international congress,first inter-national congress,2
1649,first judiciary act,,5
1650,first national conference,,2
1651,first negro,,5
1652,first offender,,4
1653,first personal service committee,,5
1654,first statistical report,,5
1655,first summer conference,,2
1656,first sunday school movement,,5
1657,first turkish woman,,5
1658,first woman ever,,5
1659,first woman governor,,5
1660,first woman member,,5
1661,first woman miller,,5
1662,first womans rights convention,,2
1663,firstclass colleges,--first-class colleges,5
1664,fish resolution,,5
1665,fisk university,,6
1666,five cents,,5
1667,five oclock,,5
1668,fix rates,,5
1669,fix wages,,5
1670,fixing minimum wages,,4
1671,floodtime,flood-time,5
1672,florence bayard hilles,,1
1673,florence bayard hilles national chairman,florence bayard hilles national chair-man,2
1674,florida federation,,2
1675,florida law,,4
1676,florida state branch,,2
1677,flour business,,4
1678,flower seeds,,4
1679,focus public opinion,,5
1680,following policy,,5
1681,following recommendation,,5
1682,following recommendations,,5
1683,food bought,,5
1684,food committee,,5
1685,food committee reports,,5
1686,food conservation,,5
1687,food consumed,,5
1688,food consumption,,4
1689,food drugs act,,5
1690,food establishments,,4
1691,food expenditures,,5
1692,food factories,,4
1693,food handlers,,4
1694,food inspection decisions,,5
1695,food program,,5
1696,food purchased,,5
1697,food purchases,,5
1698,food sanitation committee,,5
1699,food shows,,5
1700,food standards,,5
1701,food value,,5
1702,food work,,4
1703,foods drugs liquors,,4
1704,foods produced,,5
1705,foot presses,,4
1706,forced labour,,4
1707,foreign affairs committee,,2
1708,foreign department,,5
1709,foreign fields,,4
1710,foreign lands,,5
1711,foreign man,,3
1712,foreign markets,,4
1713,foreign mission board,,4
1714,foreign missionaries,,2
1715,foreign organization,,2
1716,foreign relations committee,,5
1717,foreign residence,,5
1718,foreign spouse,,4
1719,foreign wife,,4
1720,foreign woman,,3
1721,foreign women,,3
1722,foreigners,,3
1723,forgotten woman,,4
1724,formal protest,,5
1725,former federal child labor law,,5
1726,former mistress,,4
1727,former slaves,,3
1728,forty hour week,,5
1729,fortyeight hour week,forty-eight hour week,5
1730,fortyeighthour law,forty-eight-hour law,5
1731,fortyeighthour week,forty-eight-hour week,5
1732,fortyfive hours,forty-five hours,5
1733,fortyfour hour week,forty-four hour week,5
1734,fortyfour hours,forty-four hours,5
1735,fourteen years old,four-teen years old,5
1736,fourteenth amendment,,5
1737,fourth ohio congressional district,,2
1738,franchise,,5
1739,franchise companies,,4
1740,fraternal delegate,,2
1741,fraternal delegates,,2
1742,fraternity men,,4
1743,frau pfülf,,1
1744,frederick douglas centre,,1
1745,frederick douglass home,,1
1746,frederick douglass memorial,,5
1747,free country,,5
1748,free labor,,4
1749,free love,,5
1750,free love,,5
1751,free marriage,,5
1752,free negroes,,3
1753,free option,,5
1754,free papers,,2
1755,free society,,5
1756,free women,,3
1757,freedmen,,3
1758,freedmens bureau,,5
1759,freedom,,5
1760,freedom day,,5
1761,freight office,,4
1762,frelinghuysen university,,6
1763,french cabinet,,2
1764,french civil code,,4
1765,french civilization,,5
1766,french committee,,2
1767,french course,,5
1768,french feminism,,5
1769,french feminist movement,,5
1770,french feminists,,5
1771,french market,,4
1772,french suffragists,,5
1773,french wives,,3
1774,frivolous amusements,,4
1775,frugal habits,,5
1776,fruit growing industry,,4
1777,fruit preserving establishments,,4
1778,fruitful service,,5
1779,full benefit,,5
1780,full citizenship,,5
1781,full compensation rate,,5
1782,full dress,,5
1783,full employment,,5
1784,full equality,,5
1785,full fashioned hosiery,,4
1786,full freedom,,5
1787,full hearing,,5
1788,full independence,,5
1789,full participation,,5
1790,full recognition,,5
1791,full responsibility,,5
1792,full share,,5
1793,full suffrage,,5
1794,full time work,,5
1795,full work week,,5
1796,fulltime week,full-time week,5
1797,fully qualified,,5
1798,fully recognized,,5
1799,fundamental difference,,5
1800,fundamental law,,5
1801,fundamental liberties,,5
1802,fundamental principles,,5
1803,fundamental question,,5
1804,fundamental right,,5
1805,fur coats,,4
1806,furnished rooms,,5
1807,future mothers,,4
1808,gain full immediate suffrage,,5
1809,gainful employment,,5
1810,gainful pursuits,,5
1811,gainfully employed,,5
1812,gainfully occupied,,5
1813,game wardens,,4
1814,garden house,,5
1815,garden party,,5
1816,gardenroom,garden-room,5
1817,garland fund,,5
1818,garment industry,,4
1819,garment shops,,4
1820,garments worn,,5
1821,general abolition,,5
1822,general accounting office,,2
1823,general attitude,,5
1824,general chairman,general chair-man,2
1825,general commission,,2
1826,general convention,,2
1827,general federation,,5
1828,general fund,,5
1829,general housework,,4
1830,general houseworker,,4
1831,general houseworkers,general house-workers,3
1832,general ignorance,,5
1833,general improvement,general im-provement,5
1834,general international agreement,general inter-national agreement,5
1835,general laws,,5
1836,general proposition,,5
1837,general smuts,,4
1838,general superintendent,general super-intendent,4
1839,general tardieu,,4
1840,general welfare,,5
1841,generation ago,,4
1842,genetic psychology,,5
1843,geneva disarmament conference,,2
1844,geneva university,,6
1845,gentlemens agreement,,5
1846,georgia collector,,2
1847,georgia federation,,2
1848,georgia industrial college,,6
1849,georgia industrial school,,6
1850,georgia state college,,6
1851,georgia state federation,,2
1852,georgia state industrial college,,6
1853,georgia state teachers association,,1
1854,german federation,,2
1855,german nationality,,5
1856,german union,,2
1857,gertrude banks,,1
1858,get educated,,5
1859,get reduced rates,,5
1860,get votes,,5
1861,getting together,,5
1862,gifted woman,,5
1863,girl caddies,,3
1864,girl reserve work,,4
1865,girlhood,,4
1866,girls friendly society,,5
1867,girls industrial home,,5
1868,girls rescue home,,5
1869,girls work,,5
1870,give de jure recognition,,5
1871,give increased dignity,,5
1872,given equal opportunity,,5
1873,given equal pay,,5
1874,given full power,,5
1875,given special protection,,5
1876,giving scholarships,,5
1877,go marching,,5
1878,gods work,,5
1879,going wage,,5
1880,gold banners,,2
1881,good character,,5
1882,good cheer club,,1
1883,good citizenship,,5
1884,good deeds,,5
1885,good government club,,1
1886,good homes,,5
1887,good hospital,,5
1888,good housekeeping,good house-keeping,4
1889,good inspections,,5
1890,good inspectors,,5
1891,good jobs,,5
1892,good manners,,5
1893,good morals,,5
1894,good offices,,5
1895,good policy,,5
1896,good reputation,,5
1897,good sport,,5
1898,good standards,,5
1899,goodly heritage,,5
1900,goods wares,,5
1901,goucher college,,6
1902,goucher college student council,,6
1903,government approval,,5
1904,government hotels,,2
1905,government scheme,,5
1906,government work poor conditions,,4
1907,government workers,,2
1908,government workers council,,5
1909,governmental affairs,,5
1910,governmental authority,,4
1911,governmental body,,2
1912,governmental program,,5
1913,governor deneen,,4
1914,governor dorsey,,4
1915,governor franklin,,4
1916,governor pinchot,,4
1917,governor roosevelt,,4
1918,governor smith,,4
1919,governor whitman,,4
1920,governor winant,,4
1921,governors commission,,2
1922,governors council,,2
1923,graduate,,5
1924,gravely bill,,5
1925,gray matter,,5
1926,great beauty,,5
1927,great ideals,,5
1928,great moral dangers,,4
1929,great national service,,5
1930,great parade,,5
1931,great privilege,,5
1932,great responsibility,,5
1933,great theatre,,5
1934,great white race,,4
1935,greater love,,5
1936,greater percentage,,5
1937,greatest diversity,,5
1938,greatest woman pianist,,5
1939,greek literature,,5
1940,greek testament,,5
1941,greek women,,3
1942,green back,,5
1943,grimké boys,,1
1944,grimke family,,1
1945,grocery business,,4
1946,grocery chains,,4
1947,group action,,5
1948,group conflict,,5
1949,group interests,,5
1950,growing industrialism,,4
1951,guarantee clause,,5
1952,guardianship bill,,5
1953,gun salute,,5
1954,h cordelia ray,,1
1955,hague codification conference,,5
1956,hague conference,,5
1957,hague convention,,5
1958,hague court,,5
1959,hague nationality convention,,5
1960,haines college,,6
1961,haines institute,,5
1962,hair long,,5
1963,haitian coffee,,4
1964,half hour law,,5
1965,half hours per week,,5
1966,halftime houseworker,half-time houseworker,4
1967,halfway house,half-way house,5
1968,hamptons magazine,,2
1969,handicap women,,4
1970,handle labor complaints,,5
1971,happily married,,5
1972,hard earnings,,5
1973,hard worker,,5
1974,harlem riot,,4
1975,harlem uprising,,4
1976,harmon foundation,,4
1977,harpers monthly,,2
1978,harriet tubman club,,1
1979,harris bessie,,1
1980,harrisburg conference,,5
1981,harrisburg convention,,5
1982,harvest time,,4
1983,havana conference,,2
1984,hawaiian schools,,6
1985,hazardous occupations,,4
1986,hazel mackaye,,1
1987,headwaitress,,3
1988,heal,,5
1989,health authorities,,5
1990,health boards members,,2
1991,health certificate,,5
1992,health commissioner,,2
1993,health examination,,5
1994,health insurance commission,,2
1995,health morals,,5
1996,health officer,,5
1997,health rating,,5
1998,health road,,5
1999,health talk,,5
2000,healthy men,,3
2001,hearts,,4
2002,hebrew people,,3
2003,hebrew union college,,6
2004,heritage,,4
2005,hero worship,,5
2006,hiawatha,,5
2007,high academic,,4
2008,high character,,5
2009,high christian character,,5
2010,high death rate,,4
2011,high government policy,,5
2012,high moral standard,,5
2013,high mortality,,4
2014,high per cent,,5
2015,high platform,,5
2016,high positions,,5
2017,high tribunal,,2
2018,high wage scales,,5
2019,high wages,,5
2020,higher castes,,4
2021,higher court,,5
2022,higher ideals,,5
2023,higher income group,,4
2024,higher income groups,,4
2025,higher minimum wage,,5
2026,higher moral,,5
2027,higher paid work,,5
2028,higher positions,,5
2029,higher schools,,5
2030,higher standard,,5
2031,higher wages,,5
2032,highest degree,,5
2033,highest ideals,,5
2034,highest salary paid,,4
2035,highest salary received,,5
2036,highest standards,,5
2037,highest wage,,5
2038,highly skilled professional,,4
2039,hindu woman,,3
2040,hindu women,,3
2041,hines chairman,hines chair-man,4
2042,hippolytus club,,1
2043,hire women,,5
2044,hired help,,4
2045,hiring women,,5
2046,historical associations,,2
2047,holding public office,,5
2048,home agents,,5
2049,home civil service,,5
2050,home demonstration,,5
2051,home demonstration agents,,4
2052,home duties,,4
2053,home economics department,,5
2054,home economics united states department,,5
2055,home farms,,4
2056,home kitchen,,4
2057,home maker,,4
2058,home making,,4
2059,home managers,,5
2060,home mission board,,5
2061,home missions,,5
2062,home partnership,,5
2063,home workers,,4
2064,homelike,home-like,4
2065,homemade girl,home-made girl,4
2066,homemakers council,home-makers council,5
2067,homemaking,home-making,5
2068,homemaking work,home-making work,4
2069,homestead law,,5
2070,hon frances perkins,frances perkins,2
2071,honduran women,,3
2072,honest cloth bills,,4
2073,honest election,,5
2074,honorable dismissal,,4
2075,hoosier women,,3
2076,hoovercurtis ticket,hoover-curtis ticket,5
2077,hope day nursery,,5
2078,hosiery,,4
2079,hosiery workers,,4
2080,hospital beds,,4
2081,hospital facilities,,4
2082,hostess house work,,5
2083,hotel company,,4
2084,hour bill,,5
2085,hour law,,5
2086,hour regulations,,5
2087,hour schedule,,5
2088,hour week bill,,5
2089,hours allowed,,5
2090,hours bill,,5
2091,hours law,,5
2092,hours night work,,4
2093,hours payment entry,,5
2094,hours per day,,5
2095,hours spent,,4
2096,hourweek,,5
2097,house foreign affairs committee,,23
2098,house immigration committee,,5
2099,house mother,,4
2100,house rented,,5
2101,housefurnishing committee,house-furnishing committee,2
2102,household care,house-hold care,4
2103,household employment,house-hold employment,4
2104,household word,house-hold word,5
2105,housekeeping services,house-keeping services,5
2106,housewife,,4
2107,housewifes services,,5
2108,housework,,4
2109,housing,,4
2110,housing problem,,4
2111,howard county board,,2
2112,howard county school board,,2
2113,howard pharmacy,,4
2114,howard school,,99
2115,howard university law school,,6
2116,howard wolfe,,1
2117,howe institute,,2
2118,hull house,,1
2119,human affairs,,5
2120,human bones,,4
2121,human brotherhood,,5
2122,human economy,,5
2123,human equality,,5
2124,human experience,,5
2125,human family,,4
2126,human freedom,,5
2127,human happiness,,5
2128,human labor,,4
2129,human liberty,,5
2130,human relationships,,5
2131,human rights,,5
2132,human welfare,,5
2133,humanity justice,,5
2134,humiliating practices,,4
2135,hungarian parliament,,2
2136,hunger strikes,,5
2137,husbands authority,,4
2138,husbands consent,,4
2139,husbands country,,4
2140,husbands debts,,4
2141,husbands estate,,4
2142,husbands income,,4
2143,husbands name,,4
2144,husbands name affixed,,4
2145,husbands nationality,,4
2146,husbands separate income,,4
2147,husbands wages,,4
2148,hyatri co,,4
2149,hyde trustees,,2
2150,hygiene,,4
2151,hypothetical earnings,,5
2152,hysterical,,4
2153,hysterical nation,,5
2154,idaho chairman,idaho chair-man,2
2155,ideal,,5
2156,idle women,,4
2157,idleness,,4
2158,illegal employment,,4
2159,illegally employed,,4
2160,illegitimacy bill,,5
2161,illegitimate birth,,4
2162,illegitimate child,,4
2163,illegitimate children,,4
2164,illegitimate mothers,,4
2165,illegitimate parenthood,,4
2166,illinois association,,2
2167,illinois branch,,2
2168,illinois corporation,,4
2169,illinois decision,,2
2170,illinois federation,,2
2171,illinois legislature,,2
2172,illinois republican primary,,4
2173,illinois state association,,2
2174,illinois state federation,,2
2175,illiteracy,,4
2176,imaginary sex weaknesses,,5
2177,immediate equalization,,5
2178,immediate investigation,,5
2179,immediate relief,,5
2180,immediate restoration,,5
2181,immigrant children,,3
2182,immigration act,,5
2183,immigration authorities,,4
2184,immigration committee,,2
2185,immigration law,,5
2186,immigration laws,,5
2187,impartial attitude,,5
2188,impartial trial,,5
2189,imperial conference,,2
2190,impose fresh handicaps,,5
2191,improper lighting,,5
2192,improve home working conditions,,5
2193,impure water,,4
2194,inadequate wages,,4
2195,inalienable right,,5
2196,inalienable rights,,5
2197,inarticulate women,,4
2198,include women,,5
2199,inclusive,,5
2200,income group,,5
2201,income groups,,4
2202,income increased,,5
2203,income increases,,5
2204,income required,,5
2205,income spent,,5
2206,income tax division,,5
2207,income tax law,,5
2208,increase immorality,,4
2209,increased cost,,4
2210,indebtedness,,4
2211,indecent behavior,,4
2212,indecent manner,,5
2213,independent citizenship,,5
2214,independent club,,5
2215,independent domicile,,4
2216,independent incomes,,5
2217,independent labor department,,5
2218,independent offices bill,,5
2219,independent store,,4
2220,independent voter,,5
2221,indian arrow,,4
2222,indian bureau,,5
2223,indian mines,,4
2224,indian muslim women,,3
2225,indian womanhood,indian woman-hood,5
2226,indiana branch,,2
2227,indiana federation,,2
2228,indiana sponsor,,2
2229,indirect representation,,5
2230,individual clubs,,2
2231,individual effort,,5
2232,individual employers,,4
2233,individual life,,5
2234,individual personal service,,5
2235,individual protected,,5
2236,individual work,,5
2237,individual workers,,4
2238,individual worth,,5
2239,industrial activity,,5
2240,industrial art schools,,5
2241,industrial arts,,5
2242,industrial board,,5
2243,industrial building,,4
2244,industrial city,,4
2245,industrial clinics,,4
2246,industrial codes,,4
2247,industrial commission,,5
2248,industrial conditions,,4
2249,industrial council,,5
2250,industrial councils,,5
2251,industrial department,,5
2252,industrial disease,,4
2253,industrial education,,5
2254,industrial employment,,4
2255,industrial equality,,5
2256,industrial equality resolutions adopted,,5
2257,industrial equality viewpoint,industrial equality view-point,5
2258,industrial field,,4
2259,industrial freedom,,5
2260,industrial home,,4
2261,industrial home work,,5
2262,industrial hygiene,,5
2263,industrial hygiene bureaus,,5
2264,industrial inequality,,4
2265,industrial injuries,,4
2266,industrial institute,,5
2267,industrial justice,,5
2268,industrial laws,,5
2269,industrial legislation,,5
2270,industrial legislation regulations,,5
2271,industrial management,,5
2272,industrial occupations,,4
2273,industrial organizations,,4
2274,industrial plants,,4
2275,industrial poisoning,,4
2276,industrial poisons,,4
2277,industrial preparedness,,5
2278,industrial problems,,5
2279,industrial recovery administration,industrial recovery ad-ministration--,5
2280,industrial restrictions,,4
2281,industrial revolution,,4
2282,industrial safety,,5
2283,industrial secretary,,4
2284,industrial service,,5
2285,industrial standards,,5
2286,industrial standards committee,,5
2287,industrial toxicology,,5
2288,industrial undertakings,,5
2289,industrial welfare commission,,5
2290,industrial woman,,3
2291,industrial women,,3
2292,industrial work,,4
2293,industrial worker,,3
2294,industrial world,,5
2295,industry agriculture,,4
2296,industry award,,5
2297,industry business meeting,,4
2298,industry today,industry to-day,5
2299,industrys closet,,4
2300,ineligible alien,,4
2301,inequality,,4
2302,ineradicable male instinct,,4
2303,inescapable duty,,5
2304,infamous traffic,,4
2305,infancy act,,5
2306,infancy legislation,,5
2307,infant welfare lapsed,,4
2308,infanticide,,4
2309,inferior class,,4
2310,inferior position,,5
2311,inferior workers,,4
2312,inferiority complex,,5
2313,infirm colored people,,3
2314,infirm colored women,,4
2315,infirmary,,4
2316,inherit property,,5
2317,inherit real estate,,4
2318,inheritance bill,,5
2319,inheritance laws,,5
2320,inheritance tax,,5
2321,inheritance taxes,,5
2322,inherited property,,5
2323,initiative petition,,5
2324,injured children,,4
2325,inland revenue department,,2
2326,inspection department,,5
2327,inspection room,,4
2328,inspectors authorized,,5
2329,institut de droit international,institut de droit inter-national,4
2330,institutions,,4
2331,insufficient income,,4
2332,insurance business,,4
2333,insurance scheme,,4
2334,insure punishment,,5
2335,insured families,,5
2336,intellectual attainments,,5
2337,intellectual improvement,intellectual im-provement,5
2338,intellectual training,,5
2339,intelligent negro woman,,4
2340,intelligent public opinion,,5
2341,intensive educational campaign,,5
2342,intensive study,,5
2343,inter american commission,,5
2344,interamerican commission,inter-american commission,5
2345,interamerican understanding,inter-american understanding,5
2346,intercollegiate prize,,5
2347,interior department,,3
2348,intermarrying,,4
2349,international,inter-national,4
2350,international action,inter-national action,5
2351,international advisory committee,inter-national advisory committee,5
2352,international advisory council,inter-national advisory council,5
